NtAcceptConnectPort,NtAccessCheck,NtAccessCheckAndAuditAlarm,NtAccessCheckByType,NtAddAtom,NtAdjustGroupsToken,NtAdjustPrivilegesToken,NtAlertThread,NtAllocateLocallyUniqueId,NtAllocateUuids,NtAllocateVirtualMemory,NtAlpcAcceptConnectPort,NtAlpcCreatePort,NtAlpcCreateResourceReserve,NtAlpcCreateSecurityContext,NtAlpcDeleteSectionView,NtAlpcSetInformation,NtApphelpCacheControl,NtAssignProcessToJobObject,NtCallbackReturn,NtCancelIoFile,NtCancelTimer,NtClearEvent,NtClose,NtCompareTokens,NtContinue,NtCreateDebugObject,NtCreateDirectoryObject,NtCreateEvent,NtCreateFile,NtCreateKey,NtCreateMailslotFile,NtCreateMutant,NtCreateNamedPipeFile,NtCreatePrivateNamespace,NtCreateSection,NtCreateSemaphore,NtCreateThreadEx,NtCreateTransaction,NtCreateUserProcess,NtDelayExecution,NtDeleteAtom,NtDeleteKey,NtDeleteValueKey,NtDeviceIoControlFile,NtDuplicateObject,NtDuplicateToken,NtEnumerateKey,NtEnumerateValueKey,NtFindAtom,NtFlushBuffersFile,NtFlushInstructionCache,NtFs,NtGetContextThread,NtGetNextThread,NtGetNlsSectionPtr,NtIsProcessInJob,NtLockFile,NtLockVirtualMemory,NtMapViewOfSection,NtNotifyChangeDirectoryFile,NtNotifyChangeKey,NtOpenDirectoryObject,NtOpenFile,NtOpenKey,NtOpenMutant,NtOpenProcess,NtOpenThread,NtPlugPlayControl,NtPowerInformation,NtPrivilegeCheck,NtPrivilegedServiceAuditAlarm,NtProtectVirtualMemory,NtQueryAttributesFile,NtQueryDebugFilterState,NtQueryDefaultLocale,NtQueryDirectoryFile,NtQueryEaFile,NtQueryFullAttributesFile,NtQueryInformationFile,NtQueryInformationJobObject,NtQueryInformationProcess,NtQueryInformationThread,NtQueryInformationToken,NtQueryMultipleValueKey,NtQueryPerformanceCounter,NtQuerySecurityAttributesToken,NtQuerySecurityObject,NtQuerySystemInformation,NtQueryTimerResolution,NtQueryVirtualMemory,NtQueryVolumeInformationFile,NtQueueApcThread,NtRaiseException,NtRaiseHardError,NtReadFile,NtReadVirtualMemory,NtReleaseMutant,NtReleaseSemaphore,NtRemoveIoCompletionEx,NtReplyPort,NtReplyWaitReceivePort,NtRequestPort,NtResetEvent,NtRollbackTransaction,NtSetContextThread,NtSetEvent,NtSetInformationFile,NtSetInformationObject,NtSetInformationProcess,NtSetSystemInformation,NtSetValueKey,NtSuspendThread,NtTestAlert,NtTraceEvent,NtWaitForSingleObject,NtWriteFile,NtYieldExecution,Digital Sign,PE32/PE64,BL Import,Import,Export,Resource,BL String,String,Label
1,1365,304,157,12,0,65,309,0,0,2139,119,13,3,720,14,14,38,1,478,0,21,720,28132,130,91,0,0,6673,1539,728,0,483,6,0,1827,124,107,8,10,285,0,56,18,5582,334,307,691,94,16,56,4,1449,0,0,0,0,0,0,877,1,56,81,943,12599,1,2568,11360,822,466,5,2,1242,628,173,90,1087,0,709,1984,0,3626,2361,3182,18,479,52,525,3845,2,8143,596,8,4,0,935,1963,3561,118,9,3,12,54,0,0,0,8347,2102,659,660,5,396,0,140,107,9829,763,201,0,0,118,527,0,20,1,5852,1
1,1836,211,559,13,1,65,398,18,0,2338,145,29,7,554,24,23,54,0,290,0,20,335,24602,96,84,0,0,5862,1116,600,0,205,13,8,1441,173,111,8,13,93,0,13,65,4866,350,151,425,313,12,174,4,1212,0,0,0,0,0,0,1012,2,80,254,1019,7397,0,1754,13274,4,425,7,2,1270,799,206,100,629,0,712,1074,0,2524,716,5401,22,532,4,97,1146,0,1804,214,6,7,1,479,935,616,25,2,3,46,38,0,0,0,6518,1264,1309,525,13,237,0,153,57,11846,1155,13,0,0,5,11,0,0,0,732,1
1,744,121,96,5,1,38,156,2,0,40708,55,5,1,481,7,9,17,1,590,0,23,297,15668,99,62,0,0,4310,557,398,0,150,0,0,1065,32,56,8,31584,93,0,10,3,3836,166,64,570,10,29,58,3,710,0,0,0,0,0,0,357,0,14,32,557,7166,0,1148,6454,53,466,2,1,413,226,111,4068,640,0,105,1124,0,144775,1237,1840,12,163,0,33,3514,0,5932,100,8,3,0,82,224,1376,76,6,3,12,27,1,0,0,7256,949,640,143069,6,206,0,64,114,6091,679,14,0,0,0,108,0,6,0,369,1
3,1802,64,48,7,4,27,112,2,1,595,34,2,1,206,6,3,10,0,3116,0,23,269,8175,6,67,0,2,2794,559,53,0,54,1,1,127,24,69,0,2,84,0,14,0,2923,132,96,658,308,85,63,22,421,0,2,0,0,1,0,252,0,2,19,367,2680,1,526,5421,0,417,1,0,265,157,95,10,336,0,155,491,1,2395,528,555,2,100,0,0,1287,0,744,324,6,3,0,86,1010,510,19,6,8,36,41,1,0,0,6622,108,304,387,2,66,1,77,114,4848,221,19,0,0,29,84,0,2,0,805,1
2,1685,93,33,6,2,19,113,0,0,291,22,3,0,259,7,1,10,0,117,0,21,215,7604,14,52,0,0,2964,392,85,0,29,0,0,82,25,47,0,1,77,0,15,1,3274,80,35,151,3,12,60,0,297,0,0,0,0,0,0,132,0,5,20,231,2413,0,295,3013,16,417,0,0,240,53,31,2,271,0,32,218,0,2144,276,448,0,52,0,2,1243,1,675,54,8,3,0,30,242,533,8,9,6,22,34,1,0,0,6579,77,337,209,1,88,0,47,130,4060,228,13,0,0,65,114,6,4,0,4245,1
1,1936,110,55,5,4,22,112,2,1,610,41,3,2,284,6,6,10,0,6344,0,24,255,9366,16,66,0,2,3122,642,92,0,70,1,1,135,35,68,0,2,92,0,15,1,3218,138,90,642,166,1247,68,22,439,0,2,0,0,1,0,268,0,4,24,356,3570,0,611,4292,16,431,2,0,285,167,93,17,333,0,155,479,1,2459,1838,805,2,2565,0,0,1302,0,865,318,8,3,0,131,1636,708,19,6,33,70,38,1,0,0,6691,158,385,393,2,90,1,75,117,5020,263,28,0,0,3,156,0,13,0,690,1
1,1715,108,46,3,2,18,82,0,0,268,23,3,0,284,6,1,0,0,222,0,20,187,7472,16,61,0,0,2835,457,64,0,26,0,0,73,48,59,0,0,111,0,13,0,2960,79,24,476,70,14,50,0,277,0,0,0,0,0,0,92,0,2,12,174,2334,0,184,3329,258,437,0,0,142,54,1,1,137,0,0,193,0,2151,302,459,0,63,16,0,1262,1,786,36,6,5,0,273,16,774,8,6,3,12,46,1,0,0,6579,325,272,191,1,53,0,59,1232,3935,196,48,0,0,176,578,0,6,14,3812,1
4,1622,54,37,6,2,19,82,0,0,528,32,2,0,240,9,0,15,0,275,0,21,182,9547,8,52,0,0,2735,492,60,0,50,0,0,132,27,59,0,4,505,0,14,8,2736,118,58,658,102,18,55,0,385,0,0,0,0,0,0,255,1,3,23,389,4729,0,913,4617,4,443,1,0,344,152,64,8,385,0,47,338,0,2425,611,939,0,174,2,8,1303,0,845,112,6,3,0,100,227,352,18,14,9,220,34,1,0,0,6534,143,304,311,1,87,0,74,161,3963,213,22,0,0,5,10,0,1,0,1061,1
2,1736,132,68,4,0,9,68,2,0,542,23,5,2,390,3,4,0,0,3745,0,14,324,9759,24,52,0,0,2773,363,116,0,58,0,0,100,12,43,0,0,208,0,0,0,2991,102,40,1002,70,27,31,0,90,0,0,0,0,0,13,309,0,4,15,261,5567,2,637,5256,400,295,6,0,231,128,31,27,84,0,33,77,0,2064,435,1442,0,776,24,4,1473,1,842,41,12,0,0,59,218,1446,3,6,6,20,24,0,0,0,1094,57,146,237,36,22,0,45,892,4769,82,318,0,0,7,18,0,23,0,4429,1
1,1620,54,35,0,1,18,77,0,0,352,26,3,0,242,4,1,0,0,397,0,24,303,7303,10,62,0,0,2717,318,50,0,6,0,0,41,18,52,0,0,337,0,13,0,2750,77,26,1056,70,36,56,0,285,0,0,0,0,0,13,76,0,1,12,140,3132,1,237,4762,9,440,0,0,91,30,0,1,128,0,1,174,0,1985,292,324,0,900,0,4,1375,0,768,42,18,3,0,24,32,549,7,6,4,12,35,0,0,0,6697,67,310,188,391,50,0,50,696,3965,212,17,0,0,1,4,0,2,0,31,1
